tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0110443,movie,Major Payne,Major Payne,0,1995,95,"Adventure,Comedy,Family",6.3,40366
tt0110475,movie,The Mask,The Mask,0,1994,101,"Comedy,Crime,Fantasy",7.0,437516
tt0110478,movie,Maverick,Maverick,0,1994,127,"Action,Adventure,Comedy",7.0,121561
tt0110516,movie,Milk Money,Milk Money,0,1994,110,"Comedy,Romance",5.6,13329
tt0110527,movie,Miracle on 34th Street,Miracle on 34th Street,0,1994,114,"Drama,Family,Fantasy",6.6,46875
tt0110538,movie,Mixed Nuts,Mixed Nuts,0,1994,97,"Comedy,Drama",5.4,14119
tt0110570,movie,The Monster,Il mostro,0,1994,112,"Comedy,Crime,Mystery",7.3,11679
tt0110598,movie,Muriel's Wedding,Muriel's Wedding,0,1994,106,"Comedy,Drama",7.2,43125
tt0110612,movie,My Father the Hero,My Father the Hero,0,1994,90,"Comedy,Romance",5.5,11895
tt0110613,movie,My Girl 2,My Girl 2,0,1994,99,"Comedy,Drama,Family",5.3,21388
tt0110622,movie,Naked Gun 33 1/3: The Final Insult,Naked Gun 33 1/3: The Final Insult,0,1994,83,"Comedy,Crime",6.5,114448
tt0110631,movie,Nightwatch,Nattevagten,0,1994,107,Thriller,7.2,19242
tt0110632,movie,Natural Born Killers,Natural Born Killers,0,1994,119,"Crime,Romance",7.2,257365
tt0110638,movie,Nell,Nell,0,1994,112,Drama,6.5,31407
tt0110647,movie,The NeverEnding Story III,Die unendliche Geschichte III: Rettung aus Phantasien,0,1994,95,"Adventure,Comedy,Family",3.2,12706
tt0110657,movie,The Next Karate Kid,The Next Karate Kid,0,1994,107,"Action,Drama,Family",4.6,34995
tt0110678,movie,No Escape,No Escape,0,1994,118,"Action,Drama,Sci-Fi",6.1,23238
tt0110684,movie,Nobody's Fool,Nobody's Fool,0,1994,110,"Comedy,Drama",7.3,23094
tt0110687,movie,North,North,0,1994,87,"Adventure,Comedy,Drama",4.5,15027
tt0110725,movie,On Deadly Ground,On Deadly Ground,0,1994,101,"Action,Adventure,Thriller",4.6,25971
tt0110729,movie,Once Were Warriors,Once Were Warriors,0,1994,102,"Crime,Drama",7.9,37745
